Id,SalePrice
1461,110137.155042333
1462,159059.844683558
1463,169684.056341069
1464,188059.821027296
1465,219782.18737552
1466,182152.023099687
1467,175453.990159407
1468,175115.020200577
1469,210229.301991659
1470,102017.781716403
1471,210420.491777141
1472,119310.154831767
1473,107391.686638936
1474,164581.036605005
1475,146068.189629363
1476,328671.697137034
1477,268102.507089207
1478,296230.238454814
1479,286759.45474627
1480,387049.953809136
1481,302944.102624917
1482,235072.571906422
1483,190566.123230685
1484,195564.822903344
1485,184861.210858004
1486,214427.739759877
1487,313877.216116847
1488,270342.207910182
1489,207292.189883805
1490,204319.637043829
1491,210882.544289326
1492,97661.5285509494
1493,190683.346522601
1494,288175.275077828
1495,286046.484659778
1496,225033.691204587
1497,213656.172437871
1498,179282.520045936
1499,179579.000948163
1500,162089.462280433
1501,178168.896275075
1502,170418.619316919
1503,268586.055925288
1504,244406.573998663
1505,225294.635326952
1506,213837.131069614
1507,245898.247886679
1508,198843.859648993
1509,177137.141199037
1510,148773.648480187
1511,147020.223000041
1512,166675.436056487
1513,172912.177902939
1514,165586.459667115
1515,218684.738779481
1516,156647.326463126
1517,157935.627330374
1518,170562.518114711
1519,227005.972462522
1520,124087.782414406
1521,129523.753911328
1522,186699.807747331
1523,101449.013511166
1524,109503.739618807
1525,107158.628690717
1526,109605.207115048
1527,98643.5732618519
1528,146656.082772119
1529,140431.469023946
1530,186105.283971351
1531,113793.304645064
1532,78238.942300275
1533,154416.772488372
1534,143982.161910916
1535,156164.669315883
1536,115994.633242154
1537,46720.7868667445
1538,187512.636884342
1539,220810.794276034
1540,137523.854291075
1541,164116.513554812
1542,153172.794784199
1543,214176.161419119
1544,58757.2604909283
1545,115834.528576236
1546,137545.5229977
1547,122994.739589103
1548,139781.14944462
1549,113318.644375369
1550,132713.327361881
1551,125747.58816442
1552,137807.665101607
1553,139955.204877233
1554,134309.75892359
1555,158588.732690527
1556,97451.4584419527
1557,109716.948913716
1558,104769.596653806
1559,99378.9448978203
1560,132969.921231906
1561,146051.861861218
1562,120099.122071098
1563,104876.990584361
1564,167986.974269856
1565,143028.494456409
1566,224402.046550752
1567,70623.6855649741
1568,207566.979217664
1569,103553.104756585
1570,137903.877109043
1571,118363.894635891
1572,137618.240733244
1573,237307.782378547
1574,145709.193644268
1575,217496.476393304
1576,225373.650989715
1577,207055.724159127
1578,145997.219182405
1579,142322.957846004
1580,211150.60143685
1581,132240.463537782
1582,121659.682814942
1583,301217.397072065
1584,238700.929861937
1585,155391.317928422
1586,38667.2274171701
1587,96405.2577082969
1588,134111.684967249
1589,97738.8035326244
1590,147593.713128399
